,id,sales,best_smape_test,best_model,model_exp,model_ml,feature_drop,smape_holt_test,smape_holt_train,smape_holt,smape_winter_test,smape_winter_train,smape_winter,xgboost_test,svr_test,xgboost_train,svr_train,xgboost_all,svr_all
48,16045644,306.0,5.276315276315277,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'price']",10.482413828002063,11.786826713297302,11.393041691321379,13.577651923240158,9.82089668285114,10.955011472402544,13.214285714285712,12.565836940836942,5.276315276315277,10.14178014178014,7.672683710419559,10.873570873570873
49,16046251,238.0,3.779493779493779,ML,Holt's,xgboost,"['holiday_nums', 'price']",8.015873015873016,9.975479475479476,9.383900166919032,6.2103174603174605,13.76607679811341,11.485092847080667,1.9345238095238095,0.0,3.779493779493779,6.1635811635811635,3.22252171308775,4.302877416084963
50,16047254,226.0,1.6945516945516947,ML,Winter's,xgboost,no,11.914908008658008,9.512222012222011,10.237561180957405,8.924773143523144,8.448203448203447,8.592073544903734,2.5063131313131315,4.411075036075036,1.6945516945516947,3.872313872313873,1.9396117509325055,4.034958751939884
51,16047257,321.0,5.752046928517516,ML,Holt's,xgboost,no,8.592902705954177,10.405856590067115,9.858549757127358,12.6037121579401,13.317969370600949,13.102344551684467,8.89294733044733,8.612498612498612,5.752046928517516,8.510519686990275,6.700243276269912,8.541305777709772
52,16047259,140.0,1.8018018018018018,ML,Holt's,xgboost,no,11.726190476190476,10.25179025179025,10.696892206326167,11.865079365079366,12.575172575172575,12.360804813635001,0.0,0.0,1.8018018018018018,2.2522522522522523,1.2578616352201257,1.5723270440251573
53,16047276,127.0,6.94980694980695,ML,Holt's,xgboost,no,13.076368076368079,18.928668928668927,17.161936595898858,36.44709457209457,55.95881595881597,50.068484974145356,12.026515151515152,12.5,6.94980694980695,7.5933075933075935,8.482398105039616,9.074573225516621
54,16050952,295.0,5.339495339495339,ML,Winter's,xgboost,no,15.2507215007215,10.70469188116247,12.077078181406707,13.137626262626261,9.47936447936448,10.583745395066149,15.724206349206352,12.5,5.339495339495339,11.169041169041169,8.474502436766587,11.570840061406097
55,16051271,204.0,3.573573573573573,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",15.96861471861472,12.2914559756665,13.401541633915018,20.312791783380018,11.42016510437563,14.104731648980728,16.225490196078432,16.73611111111111,3.573573573573573,4.564564564564565,7.393020101122211,8.238993710691824
56,16051272,373.0,8.972078424411082,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums']",9.63098756248911,14.19358841622399,12.81619947924742,10.23582881579205,11.731918606918605,11.280268858653987,10.082362490450725,11.554868742368745,8.972078424411082,12.0379757144463,9.307258519819277,11.892132100234209
57,16051273,463.0,4.851956028426617,ML,Winter's,xgboost,['employee_nums'],16.189343642468643,18.566221000431526,17.848673118782347,13.629162912251147,17.527154880096056,16.350402587916463,12.041479762067995,14.9036714741638,4.851956028426617,9.187796614267201,7.022378287639109,10.913343741783157
58,16051274,448.0,7.828244004714592,ML,Winter's,xgboost,"['price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",8.139962246729427,12.170565444862122,10.953779573727722,7.332893087671949,11.179041105511695,10.017939817107239,5.294982794982795,7.540168165168164,7.828244004714592,10.380594589101792,7.063485903663483,9.523107366782204
59,16051275,1621.0,2.5350995264883767,ML,Winter's,xgboost,"['employee_nums', 'price']",9.869043268066358,9.02654753156983,9.280885867115954,8.664381701596797,8.182178289569443,8.32774913093619,8.30533209501095,10.895701347328005,2.5350995264883767,8.350900963255345,4.277056528306512,9.11914258863577
60,16051276,702.0,8.161376466499444,ML,Holt's,xgboost,"['holiday_nums', 'price']",11.500582374362784,10.90280121303928,11.08326345041996,12.895995350594724,11.88537836274916,12.190470283608198,12.211536528486993,12.545849076290885,8.161376466499444,9.991733060984412,9.384066296533424,10.762786952397686
61,16051277,468.0,12.315172315172317,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums']",4.785464439512343,14.864361290831877,11.821675448924093,8.924598453646357,17.70533413180472,15.054546002549362,7.2773134734451865,8.191101181813256,12.315172315172317,14.081309605606279,10.794309268613182,12.303133477668762
62,16051278,536.0,6.403780109662463,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",12.373797611169733,12.023816515440917,12.129471185849617,15.500043767507005,11.987415576469473,13.047831634141179,14.552871422308344,15.223466857098572,6.403780109662463,10.690445957042913,8.86388314744235,12.058905096682356
63,16051279,242.0,4.01058401058401,ML,Holt's,xgboost,"['employee_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",10.366453399541635,11.320749776632129,11.032660304302922,13.718831741929566,11.718130174012526,12.322115553006352,12.141641570989398,9.92656648906649,4.01058401058401,6.441441441441441,6.465242896744126,7.493554663365984
64,16051294,1040.0,12.438217832496631,Exp,Holt's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",9.731959182202738,12.438217832496631,11.621234089011681,12.388685765303158,14.462286943830918,13.836294135218763,7.97568125404981,7.16218586495367,13.480058241133422,14.240179538053848,11.818359528051575,12.10342673108021
65,16053217,228.0,6.108966108966109,ML,Winter's,xgboost,"['employee_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",10.548566017316018,18.085015585015583,15.80986099854024,4.686216561216561,12.35249735249735,10.038148434374849,13.456213924963926,14.768009768009765,6.108966108966109,7.262407262407263,8.32700318549375,9.528249528249527
66,16057195,200.0,6.427596427596429,ML,Holt's,xgboost,no,8.80704365079365,13.097150597150591,11.80202397183529,15.106646825396828,15.05521505521505,15.070741627345399,2.5297619047619047,2.5297619047619047,6.427596427596429,7.071097071097071,5.250891665986006,5.7001279642789076
67,16057475,91.0,5.405405405405405,ML,Holt's,svr,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",12.321428571428573,14.958172458172456,14.162174303683736,42.291666666666664,43.58644358644359,43.19556753519018,1.6666666666666667,1.6666666666666667,5.405405405405405,5.405405405405405,4.276729559748428,4.276729559748428
68,16058688,182.0,9.305019305019306,ML,Winter's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",31.325757575757574,25.901485901485895,27.539001878624518,12.242063492063494,15.41185541185541,14.45493709644653,10.446428571428573,12.083333333333332,9.305019305019306,10.175890175890174,9.649595687331537,10.751722072476792
69,16059519,122.0,0.0,ML,Holt's,svr,"['employee_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",6.085069444444445,8.984877734877736,8.109463911350703,8.882323762838471,18.38481338481338,15.516137272519067,4.166666666666666,4.166666666666666,0.0,0.0,1.2578616352201257,1.2578616352201257
70,16059520,150.0,8.558558558558559,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'price']",8.24404761904762,15.777042027042027,13.502930507647484,8.035714285714286,14.819868569868571,12.771821993520104,2.9166666666666665,6.041666666666666,8.558558558558559,10.177870177870178,6.855345911949685,8.929204966940818
71,16059521,119.0,7.357357357357358,ML,Holt's,svr,no,7.194940476190475,13.522678522678518,11.61241798034251,43.78111471861472,53.6936936936937,50.70121702197174,4.48051948051948,4.48051948051948,7.357357357357358,7.357357357357358,6.488877998311961,6.488877998311961
72,16060571,527.0,5.970252146722734,ML,Winter's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",6.850024652849729,15.244983811547277,12.710656518355565,4.735699479280668,10.47498103816536,8.742367737369985,7.042241921305391,6.394688602472577,5.970252146722734,9.203269071690123,6.293871701313725,8.355395722492373
73,16060572,829.0,6.281461846309065,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums']",10.159726917383018,9.262879856835973,9.533626139265271,8.385669682569338,10.06479272748344,9.557887657320693,9.50090155372663,12.09159043411562,6.281461846309065,12.637385489384412,7.253368173076632,12.472617170812699
74,16060573,381.0,7.113412113412113,ML,Winter's,xgboost,['employee_nums'],17.122290173277015,22.718931395401977,21.02937932834539,10.647340566521601,13.188343049024162,12.421247959966786,14.919042707229204,13.3305911924333,7.113412113412113,12.6069461363579,9.469828896451235,12.825405021210848
75,16061687,235.0,7.815817815817816,ML,Winter's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",34.58095417654241,25.652680652680647,28.348008508940808,10.236267752715122,11.666584166584162,11.234790532208603,7.383241758241758,10.18772893772894,7.815817815817816,8.536538536538536,7.685228817304288,9.03501111048281
76,16063951,127.0,23.483483483483486,ML,Winter's,svr,no,29.791666666666668,32.277992277992276,31.527403414195867,18.988095238095234,23.65781365781366,22.24808734242696,6.25,6.25,23.70870870870871,23.483483483483486,18.438155136268346,18.280922431865832
77,16064065,280.0,6.4291564291564285,ML,Holt's,xgboost,['holiday_nums'],5.17754508563332,15.348471385623089,12.278003068645045,7.226156196744432,15.68667054735166,13.132553007545706,6.726970945720945,7.910579004329005,6.4291564291564285,12.404982404982407,6.519062698307981,11.048181378370057
78,16064066,234.0,9.363519363519362,ML,Holt's,xgboost,no,9.375069375069375,16.040911040911038,14.02858148141167,9.156746031746033,20.917085917085917,17.366794630945574,7.450622294372295,8.978174603174605,9.363519363519362,13.916383916383914,8.786041003022136,12.425603746358464
79,16065150,122.0,4.774774774774775,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",20.146329365079367,14.464919464919468,16.18006207628849,16.396329365079364,12.960102960102962,13.997454327643005,11.75595238095238,7.217261904761904,4.774774774774775,6.726726726726727,6.882300089847259,6.874812818209045
80,16065152,175.0,0.7207207207207207,ML,Holt's,xgboost,['employee_nums'],11.964285714285715,8.677167427167426,9.669505023278605,10.476190476190474,9.618774618774617,9.877617141768082,5.208333333333333,5.208333333333333,0.7207207207207207,4.1269841269841265,2.075471698113208,4.453429170410303
81,16065162,273.0,6.852126852126853,ML,Winter's,xgboost,"['holiday_nums', 'price']",8.302253302253302,12.484182484182483,11.221713297184996,6.948164682539682,10.962352212352213,9.750522014672958,6.7208485958485955,6.063797313797314,6.852126852126853,11.510936510936512,6.812495680420209,9.866517130668074
82,16065780,253.0,12.175032175032175,ML,Winter's,xgboost,['employee_nums'],13.901246323121322,38.41484341484341,31.01451221734241,9.217053049289891,38.28516828516828,29.509888213959705,11.273786976911977,12.593517593517593,12.175032175032175,18.039468039468037,11.902958152958151,16.395407527482995
83,16066820,262.0,5.213525213525213,ML,Winter's,svr,no,9.961670274170276,10.568421818421818,10.385251540911918,11.213023088023089,9.502258252258251,10.018715561168388,4.613095238095237,4.613095238095237,5.213525213525213,5.213525213525213,5.032263334150127,5.032263334150127
84,16067199,250.0,6.334776334776334,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums', 'price']",7.863455988455989,10.900915900915901,9.983946870739322,17.635090603840602,11.748317924788513,13.5254568467665,6.034035409035409,6.034035409035409,6.334776334776334,8.579159755630345,6.243986621345113,7.8108203302431924
85,16067442,189.0,6.138996138996139,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums', 'price']",15.207015207015207,10.394061644061644,11.847028757406116,16.24868187368187,15.101111130522893,15.447547581287868,12.188852813852813,12.94642857142857,6.138996138996139,8.116688116688117,7.965367965367964,9.574722970949386
86,16067443,123.0,0.0,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums']",10.731646825396826,12.146074646074645,11.719077568134168,13.105158730158731,15.218790218790215,14.580712788259955,5.059523809523809,5.059523809523809,0.0,0.45045045045045046,1.5274034141958668,1.8418688230008984
